Date,RankWeekly,Gross,%,Change,Theaters,ChangeAvg.,Gross-to-Date,Week
Oct 13–19,1,15981187,-,1208,-,13229,15981187,1
Oct 20–26,1,17878704,+11.9%,1547,+339,11557,33859891,2
Oct 27–Nov 2,1,14267527,-20.2%,1622,+75,8796,48127418,3
Nov 3–9,1,14766043,+3.5%,1644,+22,8982,62893461,4
Nov 10–16,1,13702350,-7.2%,1641,-3,8350,76595811,5
Nov 17–23,3,12133098,-11.5%,1651,+10,7349,88728909,6
Nov 24–30,5,9096509,-25.0%,1651,-,5510,97825418,7
Dec 1–7,6,4590681,-49.5%,1649,-2,2784,102416099,8
Dec 8–14,8,3138649,-31.6%,1645,-4,1908,105554748,9
Dec 15–21,11,2485129,-20.8%,1463,-182,1699,108039877,10
Dec 22–28,8,3351075,+34.8%,1365,-98,2455,111390952,11
Dec 29–Jan4,8,4817982,+43.8%,1482,+117,3251,116208934,12
Jan 5–11,9,3262824,-32.3%,1445,-37,2258,119471758,13
Jan 12–18,12,3107390,-4.8%,1378,-67,2255,122579148,14
Jan 19–25,12,2260800,-27.2%,1256,-122,1800,124839948,15
Jan 26–Feb 1,12,1913814,-15.3%,1281,+25,1494,126753762,16
Feb 2–8,15,1638288,-14.4%,1116,-165,1468,128392050,17
Feb 9–15,17,1231695,-24.8%,909,-207,1355,129623745,18
Feb 16–22,16,1118526,-9.2%,673,-236,1662,130742271,19